"가해자차종_대분류","가해자차종","월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","경형","01","728","5","356","739","33"
"승용차","경형","02","671","14","333","689","39"
"승용차","경형","03","742","16","348","767","43"
"승용차","경형","04","795","13","379","840","51"
"승용차","경형","05","845","15","400","867","46"
"승용차","경형","06","769","21","361","771","36"
"승용차","경형","07","759","9","352","749","33"
"승용차","경형","08","723","10","314","795","60"
"승용차","경형","09","751","15","340","763","46"
"승용차","경형","10","782","12","358","771","52"
"승용차","경형","11","820","15","386","784","61"
"승용차","경형","12","707","16","330","705","37"
"승용차","소형","01","2064","42","943","2264","88"
"승용차","소형","02","2054","35","941","2295","102"
"승용차","소형","03","2354","45","1030","2578","128"
"승용차","소형","04","2403","57","1039","2473","161"
"승용차","소형","05","2466","33","1121","2504","128"
"승용차","소형","06","2277","44","1053","2331","151"
"승용차","소형","07","2362","34","988","2574","148"
"승용차","소형","08","2316","46","1028","2526","158"
"승용차","소형","09","2306","44","1022","2542","139"
"승용차","소형","10","2436","58","1154","2451","156"
"승용차","소형","11","2404","59","990","2488","128"
"승용차","소형","12","2103","42","955","2251","128"
"승용차","중형","01","7672","144","3381","8439","409"
"승용차","중형","02","7838","126","3466","8642","410"
"승용차","중형","03","8107","123","3486","8724","426"
"승용차","중형","04","8449","152","3482","9042","495"
"승용차","중형","05","8245","119","3703","8854","478"
"승용차","중형","06","7862","137","3417","8323","442"
"승용차","중형","07","8365","117","3523","8989","526"
"승용차","중형","08","8017","132","3383","9097","504"
"승용차","중형","09","8274","132","3453","9134","490"
"승용차","중형","10","8265","153","3521","8929","534"
"승용차","중형","11","8524","138","3578","9263","557"
"승용차","중형","12","8445","155","3550","9694","531"
"승용차","대형","01","1349","40","650","1514","77"
"승용차","대형","02","1266","28","571","1401","61"
"승용차","대형","03","1368","25","645","1488","60"
"승용차","대형","04","1476","27","700","1587","84"
"승용차","대형","05","1426","40","681","1501","76"
"승용차","대형","06","1352","26","637","1394","81"
"승용차","대형","07","1403","29","690","1581","83"
"승용차","대형","08","1386","22","625","1568","74"
"승용차","대형","09","1392","25","614","1589","93"
"승용차","대형","10","1324","34","583","1385","65"
"승용차","대형","11","1441","25","692","1519","74"
"승용차","대형","12","1308","31","572","1512","62"
"승합차","경형","01","49","0","26","42","9"
"승합차","경형","02","29","1","20","18","2"
"승합차","경형","03","63","0","31","56","5"
"승합차","경형","04","44","2","20","42","2"
"승합차","경형","05","44","0","36","50","1"
"승합차","경형","06","51","2","17","49","3"
"승합차","경형","07","67","2","35","58","2"
"승합차","경형","08","45","0","24","50","3"
"승합차","경형","09","55","1","28","55","4"
"승합차","경형","10","52","1","36","47","3"
"승합차","경형","11","40","1","19","37","2"
"승합차","경형","12","48","2","21","62","5"
"승합차","소형","01","411","10","214","463","26"
"승합차","소형","02","409","11","217","449","25"
"승합차","소형","03","417","16","200","455","24"
"승합차","소형","04","423","9","243","428","31"
"승합차","소형","05","405","17","256","428","14"
"승합차","소형","06","396","10","241","398","17"
"승합차","소형","07","401","13","194","433","28"
"승합차","소형","08","392","4","244","402","29"
"승합차","소형","09","432","9","187","473","34"
"승합차","소형","10","437","8","241","444","26"
"승합차","소형","11","485","14","271","482","35"
"승합차","소형","12","413","14","214","429","47"
"승합차","중형","01","210","7","106","225","20"
"승합차","중형","02","210","11","149","222","29"
"승합차","중형","03","246","6","130","254","14"
"승합차","중형","04","254","6","112","300","19"
"승합차","중형","05","261","9","128","284","21"
"승합차","중형","06","247","3","158","259","30"
"승합차","중형","07","220","6","133","226","15"
"승합차","중형","08","219","7","103","257","16"
"승합차","중형","09","245","10","111","254","48"
"승합차","중형","10","223","8","115","230","10"
"승합차","중형","11","280","11","175","282","16"
"승합차","중형","12","240","8","121","284","11"
"승합차","대형","01","626","28","358","653","27"
"승합차","대형","02","619","17","339","588","130"
"승합차","대형","03","647","17","325","644","20"
"승합차","대형","04","691","13","438","847","59"
"승합차","대형","05","690","11","423","795","59"
"승합차","대형","06","613","14","342","600","57"
"승합차","대형","07","671","19","355","769","65"
"승합차","대형","08","585","12","283","712","76"
"승합차","대형","09","660","11","322","717","48"
"승합차","대형","10","687","23","425","816","69"
"승합차","대형","11","701","28","438","760","54"
"승합차","대형","12","755","24","438","875","76"
"화물차","경형","01","146","6","58","170","3"
"화물차","경형","02","121","2","48","113","7"
"화물차","경형","03","138","4","71","122","8"
"화물차","경형","04","180","5","97","173","10"
"화물차","경형","05","176","10","104","203","10"
"화물차","경형","06","152","3","69","114","10"
"화물차","경형","07","161","7","88","171","12"
"화물차","경형","08","162","7","66","159","7"
"화물차","경형","09","156","5","75","155","13"
"화물차","경형","10","177","9","93","175","10"
"화물차","경형","11","199","9","93","181","8"
"화물차","경형","12","142","2","59","148","4"
"화물차","소형","01","1528","54","787","1528","60"
"화물차","소형","02","1473","68","702","1378","71"
"화물차","소형","03","1626","64","872","1590","72"
"화물차","소형","04","1758","74","847","1727","92"
"화물차","소형","05","1726","59","951","1592","69"
"화물차","소형","06","1710","58","954","1486","88"
"화물차","소형","07","1650","65","840","1631","90"
"화물차","소형","08","1625","43","822","1693","93"
"화물차","소형","09","1734","67","875","1719","96"
"화물차","소형","10","1879","72","982","1801","94"
