"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","11270","157","3667","12518","878"
"승용차","02","10185","116","3189","12106","854"
"승용차","03","12163","115","3738","13872","998"
"승용차","04","12597","131","3985","14248","1019"
"승용차","05","13388","145","4109","15461","1205"
"승용차","06","12252","117","3787","14008","1127"
"승용차","07","12486","97","3776","14297","1103"
"승용차","08","12892","119","3885","15144","1143"
"승용차","09","12628","126","3710","14567","1127"
"승용차","10","14037","160","4359","15755","1252"
"승용차","11","14260","144","4218","16028","1176"
"승용차","12","13207","144","3846","15006","1247"
"승합차","01","1008","15","415","1060","109"
"승합차","02","859","12","339","955","93"
"승합차","03","1168","11","433","1216","145"
"승합차","04","1189","21","415","1393","129"
"승합차","05","1285","17","449","1435","117"
"승합차","06","1150","18","428","1258","132"
"승합차","07","1164","21","385","1219","106"
"승합차","08","1259","11","436","1462","173"
"승합차","09","1210","22","454","1366","165"
"승합차","10","1400","19","511","1617","167"
"승합차","11","1302","19","469","1479","155"
"승합차","12","1227","23","433","1409","148"
"화물차","01","2165","74","784","2141","138"
"화물차","02","1797","48","655","1916","112"
"화물차","03","2285","73","855","2366","167"
"화물차","04","2430","63","907","2484","201"
"화물차","05","2636","61","980","2865","192"
"화물차","06","2357","63","876","2498","178"
"화물차","07","2403","55","841","2515","190"
"화물차","08","2497","60","890","2785","223"
"화물차","09","2356","67","816","2476","186"
"화물차","10","2801","85","1022","2930","222"
"화물차","11","2614","68","924","2848","216"
"화물차","12","2447","85","851","2531","179"
"특수차","01","82","2","27","88","5"
"특수차","02","73","0","27","79","5"
"특수차","03","92","4","29","106","2"
"특수차","04","105","3","42","151","8"
"특수차","05","117","2","43","121","9"
"특수차","06","87","3","33","101","16"
"특수차","07","97","7","48","99","8"
"특수차","08","127","3","46","141","11"
"특수차","09","94","4","25","99","11"
"특수차","10","110","3","53","102","7"
"특수차","11","131","1","46","140","6"
"특수차","12","108","6","47","100","3"
"이륜차","01","1114","20","349","798","235"
"이륜차","02","1043","16","356","761","203"
"이륜차","03","1350","34","442","1036","231"
"이륜차","04","1545","40","504","1202","298"
"이륜차","05","1796","47","579","1362","346"
"이륜차","06","1658","40","556","1254","346"
"이륜차","07","1683","36","514","1258","374"
"이륜차","08","1761","35","554","1368","361"
"이륜차","09","1640","39","557","1280","296"
"이륜차","10","1703","41","543","1257","341"
"이륜차","11","1766","40","560","1331","355"
"이륜차","12","1408","34","403","1067","307"
"사륜오토바이(ATV)","01","18","4","4","12","2"
"사륜오토바이(ATV)","02","18","2","6","13","3"
"사륜오토바이(ATV)","03","24","1","11","15","0"
"사륜오토바이(ATV)","04","33","5","7","20","5"
"사륜오토바이(ATV)","05","31","2","14","15","3"
"사륜오토바이(ATV)","06","28","3","11","17","2"
"사륜오토바이(ATV)","07","24","1","13","14","1"
"사륜오토바이(ATV)","08","31","3","9","22","2"
"사륜오토바이(ATV)","09","31","4","11","16","3"
"사륜오토바이(ATV)","10","28","2","14","13","2"
"사륜오토바이(ATV)","11","24","3","6","15","2"
"사륜오토바이(ATV)","12","28","6","10","13","5"
"원동기장치자전거","01","151","2","54","106","24"
"원동기장치자전거","02","138","1","42","103","28"
"원동기장치자전거","03","129","3","42","105","17"
"원동기장치자전거","04","152","3","47","110","32"
"원동기장치자전거","05","199","6","60","148","39"
"원동기장치자전거","06","187","4","52","134","51"
"원동기장치자전거","07","178","4","46","132","40"
"원동기장치자전거","08","233","4","77","169","38"
"원동기장치자전거","09","202","3","64","134","53"
"원동기장치자전거","10","215","4","71","149","41"
"원동기장치자전거","11","153","3","47","104","31"
"원동기장치자전거","12","176","3","60","118","31"
"자전거","01","257","7","70","138","55"
"자전거","02","202","1","65","103","47"
"자전거","03","363","2","110","201","73"
"자전거","04","470","7","154","255","101"
