가해자차종,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,01,10031,104,2610,11494,600
승합차,01,732,10,250,776,61
화물차,01,2057,54,631,2181,121
특수차,01,95,1,34,103,5
이륜차,01,1124,12,324,902,213
사륜오토바이(ATV),01,15,1,8,9,1
원동기장치자전거,01,184,4,42,142,34
자전거,01,188,2,59,109,33
개인형이동수단(PM),01,55,1,13,39,8
건설기계,01,189,5,44,214,6
농기계,01,5,2,1,2,0
기타,01,11,1,5,6,2
불명,01,223,0,27,164,50
승용차,02,9774,93,2568,11373,631
승합차,02,687,16,269,702,48
화물차,02,1897,49,605,2126,126
특수차,02,81,1,19,99,4
이륜차,02,1168,23,331,982,196
사륜오토바이(ATV),02,16,2,2,11,2
원동기장치자전거,02,145,3,49,114,28
자전거,02,268,7,84,149,51
개인형이동수단(PM),02,51,2,8,32,16
건설기계,02,189,5,64,214,8
농기계,02,14,2,5,9,0
기타,02,11,0,6,8,0
불명,02,210,0,30,148,43
승용차,03,10937,98,2903,12645,731
승합차,03,872,9,279,899,66
화물차,03,2119,52,603,2370,122
특수차,03,101,4,42,113,4
이륜차,03,1377,25,416,1137,210
사륜오토바이(ATV),03,22,3,6,15,2
원동기장치자전거,03,204,0,70,155,38
자전거,03,405,5,109,234,91
개인형이동수단(PM),03,133,1,36,84,23
건설기계,03,202,7,63,210,8
농기계,03,24,5,8,12,0
기타,03,15,0,6,9,1
불명,03,189,0,21,139,48
승용차,04,11160,97,3008,12890,701
승합차,04,826,8,260,886,51
화물차,04,2173,52,719,2384,100
특수차,04,110,6,34,148,3
이륜차,04,1592,31,512,1403,224
사륜오토바이(ATV),04,26,3,10,15,2
원동기장치자전거,04,218,6,87,151,30
자전거,04,610,6,187,346,130
개인형이동수단(PM),04,173,0,42,126,33
건설기계,04,270,2,79,293,10
농기계,04,29,0,14,20,5
기타,04,11,1,6,5,0
불명,04,205,0,25,155,48
승용차,05,11303,113,2939,13154,754
승합차,05,865,13,258,946,62
화물차,05,2110,59,628,2379,116
특수차,05,110,2,41,127,4
이륜차,05,1671,45,531,1367,263
사륜오토바이(ATV),05,22,2,6,16,3
원동기장치자전거,05,166,1,63,134,23
자전거,05,530,5,174,296,113
개인형이동수단(PM),05,166,0,38,105,43
건설기계,05,183,4,57,212,6
농기계,05,41,11,16,26,0
기타,05,16,0,4,7,7
불명,05,195,0,17,142,48
승용차,06,11159,95,3002,12847,686
승합차,06,868,3,315,977,74
화물차,06,2298,52,761,2494,120
특수차,06,103,7,32,108,4
이륜차,06,1675,38,488,1353,289
사륜오토바이(ATV),06,24,2,9,16,5
원동기장치자전거,06,147,3,43,125,24
자전거,06,622,10,173,375,130
개인형이동수단(PM),06,167,2,41,105,33
건설기계,06,243,7,91,259,9
농기계,06,57,8,25,38,2
기타,06,7,0,4,5,0
불명,06,205,0,35,135,58
승용차,07,11476,103,3023,13356,718
승합차,07,835,15,292,853,45
화물차,07,2272,57,703,2520,131
특수차,07,108,3,33,108,4
이륜차,07,1894,40,558,1606,295
사륜오토바이(ATV),07,21,2,8,14,2
원동기장치자전거,07,148,3,38,127,27
자전거,07,597,12,171,339,136
개인형이동수단(PM),07,186,2,45,129,25
건설기계,07,211,8,55,241,6
농기계,07,42,9,14,21,4
기타,07,15,0,5,11,4
불명,07,189,0,16,134,53
승용차,08,10411,117,2651,12364,660
승합차,08,743,12,239,808,53
화물차,08,2143,46,656,2353,123
특수차,08,98,4,38,113,5
이륜차,08,1719,37,563,1390,272
사륜오토바이(ATV),08,25,2,10,17,2
원동기장치자전거,08,138,5,33,106,27
자전거,08,547,8,181,314,114
개인형이동수단(PM),08,181,1,49,107,41
건설기계,08,166,10,55,164,6
농기계,08,31,5,12,20,2
기타,08,13,0,3,9,1
불명,08,203,0,26,141,54
승용차,09,11004,104,2925,12585,675
승합차,09,830,9,242,860,66
화물차,09,2088,60,656,2245,115
특수차,09,95,2,17,113,2
이륜차,09,1631,43,493,1416,236
사륜오토바이(ATV),09,15,1,4,13,4
원동기장치자전거,09,145,3,43,113,27
자전거,09,563,5,161,326,127
개인형이동수단(PM),09,184,2,49,123,34
건설기계,09,199,7,63,222,19
농기계,09,38,8,23,16,4
기타,09,10,1,4,9,0
불명,09,210,1,26,143,53
승용차,10,11859,149,3020,13776,760
승합차,10,853,17,284,884,66
화물차,10,2402,67,755,2589,144
특수차,10,112,2,29,142,3
이륜차,10,1684,47,520,1455,243
사륜오토바이(ATV),10,26,4,14,12,0
원동기장치자전거,10,171,6,42,137,32
자전거,10,512,5,163,304,96
개인형이동수단(PM),10,174,4,50,110,29
건설기계,10,219,7,65,240,9
농기계,10,34,4,18,21,1
기타,10,16,0,5,11,4
불명,10,238,0,34,180,60
승용차,11,12032,134,3098,13527,811
승합차,11,927,16,320,928,112
화물차,11,2376,78,779,2513,161
특수차,11,99,4,28,119,2
이륜차,11,1410,32,437,1165,223
사륜오토바이(ATV),11,25,1,8,16,5
원동기장치자전거,11,150,2,48,112,27
자전거,11,410,4,133,234,83
개인형이동수단(PM),11,152,2,41,99,24
건설기계,11,229,6,68,259,12
농기계,11,31,6,12,20,1
기타,11,8,0,2,5,2
불명,11,247,0,34,177,61
승용차,12,11294,141,2783,12633,785
승합차,12,885,18,272,911,96
화물차,12,2146,61,571,2319,133
특수차,12,116,3,32,129,6
이륜차,12,1430,24,408,1194,231
사륜오토바이(ATV),12,12,0,4,8,0
원동기장치자전거,12,158,3,45,129,27
자전거,12,257,1,70,142,62
개인형이동수단(PM),12,113,2,25,77,19
건설기계,12,210,11,45,213,10
농기계,12,18,2,7,15,0
기타,12,16,3,2,8,4
불명,12,279,0,27,221,60
