"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","11714","220","4658","12576","1087"
"승용차","02","10342","171","4254","11282","894"
"승용차","03","12643","193","4972","13366","1043"
"승용차","04","12911","190","4924","14252","1029"
"승용차","05","13327","192","5211","14518","1195"
"승용차","06","12054","174","4580","12928","959"
"승용차","07","13327","166","5152","14552","1207"
"승용차","08","12910","190","5156","14358","1190"
"승용차","09","13542","172","5223","14737","1223"
"승용차","10","13951","232","5541","14904","1169"
"승용차","11","14305","222","5397","15396","1189"
"승용차","12","13069","207","4835","14155","1283"
"승합차","01","1251","40","582","1376","167"
"승합차","02","1058","19","513","1145","90"
"승합차","03","1261","25","564","1412","122"
"승합차","04","1332","33","695","1439","170"
"승합차","05","1321","40","681","1488","146"
"승합차","06","1132","18","520","1171","92"
"승합차","07","1242","22","633","1290","120"
"승합차","08","1244","21","574","1354","170"
"승합차","09","1356","37","603","1412","146"
"승합차","10","1451","37","688","1550","138"
"승합차","11","1466","27","632","1591","149"
"승합차","12","1291","44","599","1274","142"
"화물차","01","2155","72","1059","2116","150"
"화물차","02","1881","60","902","1823","140"
"화물차","03","2384","84","1186","2337","168"
"화물차","04","2390","70","1095","2376","173"
"화물차","05","2514","75","1174","2575","169"
"화물차","06","2381","95","1068","2322","167"
"화물차","07","2410","80","1094","2364","187"
"화물차","08","2429","90","1145","2555","180"
"화물차","09","2531","72","1174","2588","184"
"화물차","10","2816","108","1346","2836","196"
"화물차","11","2724","96","1233","2765","206"
"화물차","12","2513","94","1091","2518","185"
"특수차","01","65","4","34","51","8"
"특수차","02","56","2","32","50","3"
"특수차","03","59","4","32","52","9"
"특수차","04","74","4","37","75","11"
"특수차","05","81","1","38","89","5"
"특수차","06","65","1","26","88","9"
"특수차","07","75","1","28","66","5"
"특수차","08","77","3","46","82","10"
"특수차","09","84","10","28","82","9"
"특수차","10","90","2","43","87","6"
"특수차","11","92","4","37","92","8"
"특수차","12","80","0","45","74","8"
"이륜차","01","695","21","258","394","157"
"이륜차","02","671","18","250","402","149"
"이륜차","03","915","32","333","571","185"
"이륜차","04","1077","27","431","656","218"
"이륜차","05","1279","33","479","858","260"
"이륜차","06","1128","50","433","655","253"
"이륜차","07","1276","45","457","709","314"
"이륜차","08","1237","48","429","779","269"
"이륜차","09","1196","35","424","743","278"
"이륜차","10","1244","41","452","795","272"
"이륜차","11","976","24","360","634","192"
"이륜차","12","960","27","335","587","201"
"원동기장치자전거","01","435","12","182","235","76"
"원동기장치자전거","02","358","11","142","215","67"
"원동기장치자전거","03","493","19","181","284","101"
"원동기장치자전거","04","541","12","191","331","106"
"원동기장치자전거","05","625","22","268","351","122"
"원동기장치자전거","06","613","23","236","372","133"
"원동기장치자전거","07","599","18","226","386","107"
"원동기장치자전거","08","619","20","212","399","128"
"원동기장치자전거","09","665","30","282","361","133"
"원동기장치자전거","10","652","17","248","407","140"
"원동기장치자전거","11","524","19","175","311","112"
"원동기장치자전거","12","465","12","160","313","83"
"자전거","01","203","3","74","81","51"
"자전거","02","208","8","59","102","48"
"자전거","03","391","7","120","182","106"
"자전거","04","569","8","172","289","143"
"자전거","05","824","11","263","411","219"
"자전거","06","778","14","273","371","178"
"자전거","07","840","9","263","413","223"
"자전거","08","805","17","234","404","233"
"자전거","09","833","12","236","409","235"
"자전거","10","724","10","211","355","202"
"자전거","11","453","6","134","212","125"
"자전거","12","292","2","82","147","73"
"건설기계","01","133","5","79","146","16"
"건설기계","02","133","6","64","106","5"
"건설기계","03","179","9","97","158","17"
"건설기계","04","202","7","79","207","9"
"건설기계","05","221","7","121","212","20"
"건설기계","06","197","10","96","187","12"
"건설기계","07","177","7","82","164","11"
"건설기계","08","225","10","117","217","22"
"건설기계","09","215","8","104","215","11"
"건설기계","10","257","14","124","263","14"
"건설기계","11","197","7","85","235","22"
"건설기계","12","217","13","101","186","13"
"농기계","01","8","4","0","3","1"
"농기계","02","15","1","8","10","1"
"농기계","03","33","5","20","18","1"
"농기계","04","45","2","23","26","7"
"농기계","05","75","8","33","41","15"
"농기계","06","54","5","32","27","4"
"농기계","07","49","10","17","26","7"
"농기계","08","47","6","23","19","6"
"농기계","09","62","10","28","33","5"
"농기계","10","53","8","19","38","3"
"농기계","11","35","4","16","18","7"
"농기계","12","24","2","13","10","5"
"불명","01","243","0","54","168","48"
"불명","02","217","0","44","159","40"
"불명","03","258","0","45","191","48"
"불명","04","245","1","70","149","48"
"불명","05","276","0","56","184","62"
"불명","06","247","0","48","179","50"
"불명","07","283","1","55","183","68"
"불명","08","271","0","55","184","68"
"불명","09","327","1","52","228","70"
"불명","10","349","1","59","221","109"
"불명","11","398","1","91","271","78"
"불명","12","379","1","67","251","101"
