"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","11886","185","3947","13276","905"
"승용차","02","11305","153","3745","12937","926"
"승용차","03","11450","157","3825","12561","902"
"승용차","04","11942","140","4051","13223","926"
"승용차","05","12449","144","4271","13872","1000"
"승용차","06","11746","119","3887","12996","931"
"승용차","07","12425","137","4096","14148","1089"
"승용차","08","12160","174","4066","13996","1016"
"승용차","09","12151","155","4114","13857","976"
"승용차","10","12839","168","4214","13996","987"
"승용차","11","12558","138","4165","13814","956"
"승용차","12","12327","167","3771","13755","1029"
"승합차","01","1077","21","433","1180","112"
"승합차","02","989","19","388","1123","128"
"승합차","03","1118","23","457","1102","126"
"승합차","04","1149","22","416","1227","163"
"승합차","05","1116","20","463","1237","159"
"승합차","06","1012","8","447","1052","96"
"승합차","07","1107","16","393","1202","129"
"승합차","08","1086","17","410","1159","115"
"승합차","09","1112","27","445","1243","116"
"승합차","10","1330","18","542","1426","102"
"승합차","11","1256","27","547","1390","178"
"승합차","12","1174","29","461","1254","121"
"화물차","01","2176","67","810","2242","164"
"화물차","02","2089","65","806","2188","170"
"화물차","03","2164","65","880","2221","148"
"화물차","04","2231","58","899","2350","167"
"화물차","05","2269","70","943","2333","181"
"화물차","06","2381","68","995","2378","220"
"화물차","07","2325","74","914","2500","150"
"화물차","08","2349","80","951","2502","197"
"화물차","09","2314","81","965","2460","170"
"화물차","10","2577","99","1053","2708","161"
"화물차","11","2451","62","949","2448","163"
"화물차","12","2236","79","811","2269","170"
"특수차","01","99","0","36","110","11"
"특수차","02","92","4","38","110","5"
"특수차","03","107","5","48","111","14"
"특수차","04","94","7","32","83","6"
"특수차","05","92","2","32","105","4"
"특수차","06","88","9","44","85","8"
"특수차","07","100","5","35","114","7"
"특수차","08","85","10","39","95","24"
"특수차","09","86","5","32","93","4"
"특수차","10","116","0","33","136","1"
"특수차","11","115","4","41","108","8"
"특수차","12","104","6","40","112","9"
"이륜차","01","868","12","274","614","202"
"이륜차","02","846","14","298","574","159"
"이륜차","03","1137","33","404","781","186"
"이륜차","04","1238","43","434","834","242"
"이륜차","05","1284","36","462","855","247"
"이륜차","06","1390","30","501","961","295"
"이륜차","07","1419","48","515","971","272"
"이륜차","08","1417","42","474","966","320"
"이륜차","09","1357","42","460","996","254"
"이륜차","10","1440","53","511","990","272"
"이륜차","11","1417","34","469","1010","282"
"이륜차","12","1219","23","378","902","256"
"사륜오토바이(ATV)","01","11","4","5","3","1"
"사륜오토바이(ATV)","02","18","3","6","10","2"
"사륜오토바이(ATV)","03","31","4","13","23","2"
"사륜오토바이(ATV)","04","31","3","10","18","4"
"사륜오토바이(ATV)","05","26","5","13","11","3"
"사륜오토바이(ATV)","06","32","5","9","18","5"
"사륜오토바이(ATV)","07","29","5","9","17","1"
"사륜오토바이(ATV)","08","37","9","19","8","4"
"사륜오토바이(ATV)","09","39","7","11","23","8"
"사륜오토바이(ATV)","10","39","7","9","20","6"
"사륜오토바이(ATV)","11","21","5","6","7","6"
"사륜오토바이(ATV)","12","19","2","10","9","1"
"원동기장치자전거","01","168","1","56","111","37"
"원동기장치자전거","02","149","6","57","99","33"
"원동기장치자전거","03","184","6","55","128","35"
"원동기장치자전거","04","259","11","85","161","52"
"원동기장치자전거","05","212","11","78","140","38"
"원동기장치자전거","06","204","7","69","128","39"
"원동기장치자전거","07","207","4","70","129","34"
"원동기장치자전거","08","203","5","69","125","43"
"원동기장치자전거","09","176","4","75","114","27"
"원동기장치자전거","10","182","4","58","123","43"
"원동기장치자전거","11","158","5","60","104","28"
"원동기장치자전거","12","144","4","39","103","25"
"자전거","01","176","4","41","85","50"
"자전거","02","202","6","46","117","41"
"자전거","03","311","5","97","176","65"
"자전거","04","454","5","146","239","99"
"자전거","05","512","10","144","271","138"
"자전거","06","623","7","198","315","160"
"자전거","07","479","11","136","255","116"
"자전거","08","436","9","116","235","102"
"자전거","09","521","10","146","269","137"
"자전거","10","490","9","153","233","122"
"자전거","11","369","9","99","190","97"
"자전거","12","198","6","55","105","47"
"개인형이동수단(PM)","01","8","0","6","1","1"
"개인형이동수단(PM)","02","8","0","2","5","1"
"개인형이동수단(PM)","03","3","0","2","1","0"
"개인형이동수단(PM)","04","16","0","7","10","3"
"개인형이동수단(PM)","05","15","0","7","6","2"
"개인형이동수단(PM)","06","17","0","4","10","4"
"개인형이동수단(PM)","07","33","0","12","16","5"
